기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,5418637.0,8823314.0,-38.6
202408,5459874.0,5101632.0,7.0
202409,6142353.0,5724212.0,7.3
202410,5310602.0,5208298.0,2.0
202411,5226662.0,4936614.0,5.9
202412,5458786.0,5044186.0,8.2
202501,6005433.0,5699004.0,5.4
202502,4786684.0,4753595.0,0.7
202503,6367256.0,6137498.0,3.7
202504,4960490.0,4883260.0,1.6
202505,6777337.0,5579196.0,21.5
202506,5588569.0,5254522.0,6.4
202507,6081985.0,5634500.0,7.9
202508,6110727.0,5536346.0,10.4
202509,5817150.0,6057485.0,-4.0
202510,6892697.0,5858604.0,17.6
202511,5623460.0,5112068.0,10.0
202512,5967899.0,5751242.0,3.8
