기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,5.1902616E7,5.3632761E7,-3.2
202408,5.38249E7,5.2129088E7,3.2
202409,5.3665812E7,5.4915374E7,-2.3
202410,5.4792412E7,5.5480089E7,-1.2
202411,4.931598E7,4.9986769E7,-1.3
202412,4.9570717E7,4.7868415E7,3.6
202501,5.1400685E7,4.8846553E7,5.2
202502,4.6151301E7,4.6803474E7,-1.4
202503,5.8499192E7,5.6997493E7,2.6
202504,4.8216364E7,4.8758787E7,-1.1
202505,6.4063209E7,5.3506996E7,19.7
202506,5.383826E7,5.0799192E7,6.0
202507,5.7472919E7,5.5130334E7,4.2
202508,5.6973802E7,5.3860835E7,5.8
202509,5.4202012E7,5.654236E7,-4.1
202510,6.0667824E7,5.5608368E7,9.1
202511,5.4842274E7,4.9313824E7,11.2
202512,5.3716334E7,5.1198168E7,4.9
