기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,8619737.0,5921206.0,45.6
202302,7548436.0,6900072.0,9.4
202303,1.0033978E7,8101580.0,23.8
202304,9069074.0,7685895.0,18.0
202305,9818924.0,8492057.0,15.6
202306,9187822.0,7866456.0,16.8
202307,9476890.0,8506648.0,11.4
202308,1.0269494E7,8601481.0,19.4
202309,1.083235E7,9188627.0,17.9
202310,1.0737696E7,9217733.0,16.5
202311,8972064.0,8314306.0,7.9
202312,8197931.0,7355170.0,11.5
202401,7850714.0,7891562.0,-0.5
202402,9137628.0,6662369.0,37.2
202403,1.0304861E7,8280654.0,24.4
202404,9358408.0,8487584.0,10.3
202405,1.008099E7,9754686.0,3.4
202406,9518694.0,8822443.0,7.9
