기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,1.3165198E7,1.4134498E7,-6.9
202408,1.473074E7,1.4464933E7,1.8
202409,1.5944562E7,1.582811E7,0.7
202410,1.4865382E7,1.5424031E7,-3.6
202411,1.3252918E7,1.291066E7,2.6
202412,1.185624E7,1.0997724E7,7.8
202501,1.3058787E7,1.2629928E7,3.4
202502,1.1578287E7,1.1278113E7,2.7
202503,1.4764428E7,1.486009E7,-0.6
202504,1.3381154E7,1.3524164E7,-1.1
202505,1.66341E7,1.4439698E7,15.2
202506,1.3540062E7,1.336187E7,1.3
202507,1.3992657E7,1.3292548E7,5.3
202508,1.6535452E7,1.4769002E7,12.0
202509,1.5404784E7,1.618156E7,-4.8
202510,1.8236568E7,1.5880568E7,14.8
202511,1.4976101E7,1.2601264E7,18.8
202512,1.3301463E7,1.1996369E7,10.9
