기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,7458829.0,1.226939E7,-39.2
202408,8899079.0,8601078.0,3.5
202409,9483040.0,9014960.0,5.2
202410,8243739.0,8732300.0,-5.6
202411,8164160.0,7787248.0,4.8
202412,6952264.0,6480075.0,7.3
202501,8679636.0,8259524.0,5.1
202502,6129106.0,6544125.0,-6.3
202503,8511468.0,8103039.0,5.0
202504,7384286.0,7583096.0,-2.6
202505,1.0200606E7,8218654.0,24.1
202506,7956322.0,7425761.0,7.1
202507,8314058.0,7858092.0,5.8
202508,9399484.0,8794499.0,6.9
202509,7971775.0,9308901.0,-14.4
202510,1.1491386E7,9104504.0,26.2
202511,8734796.0,7656243.0,14.1
202512,7356657.0,7195510.0,2.2
