기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1.5381562E7,1.0043806E7,53.1
202302,1.2768598E7,1.2326783E7,3.6
202303,1.5815412E7,1.3524528E7,16.9
202304,1.4299614E7,1.2378037E7,15.5
202305,1.5863477E7,1.4153489E7,12.1
202306,1.4257464E7,1.2872265E7,10.8
202307,1.4858112E7,1.4078589E7,5.5
202308,1.6106328E7,1.4931144E7,7.9
202309,1.7545112E7,1.6078902E7,9.1
202310,1.6335529E7,1.5094555E7,8.2
202311,1.357775E7,1.3636931E7,-0.4
202312,1.3307158E7,1.2132012E7,9.7
202401,1.2511264E7,1.3554852E7,-7.7
202402,1.5122352E7,1.1606052E7,30.3
202403,1.5949031E7,1.3033062E7,22.4
202404,1.398496E7,1.3207148E7,5.9
202405,1.523621E7,1.4766157E7,3.2
202406,1.4584682E7,1.4416454E7,1.2
