기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,4246560.0,4129534.0,2.8
202408,4476150.0,4157220.0,7.7
202409,4388674.0,4108692.0,6.8
202410,4196966.0,4411883.0,-4.9
202411,3989556.0,3741521.0,6.6
202412,4100212.0,3828062.0,7.1
202501,4449204.0,4227856.0,5.2
202502,3724864.0,3567974.0,4.4
202503,4375780.0,4297657.0,1.8
202504,3717553.0,3728946.0,-0.3
202505,4965352.0,4282096.0,16.0
202506,4249840.0,3935680.0,8.0
202507,4603697.0,4207273.0,9.4
202508,4643642.0,4263844.0,8.9
202509,4246564.0,4400263.0,-3.5
202510,5081713.0,4316970.0,17.7
202511,4393326.0,3833921.0,14.6
202512,4230695.0,3969553.0,6.6
