기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,1.2553352E7,1.2475754E7,0.6
202408,1.3472851E7,1.2622116E7,6.7
202409,1.3618364E7,1.2278746E7,10.9
202410,1.2008294E7,1.20136E7,-0.0
202411,1.1932462E7,1.090174E7,9.4
202412,1.2926788E7,1.2020771E7,7.5
202501,1.416703E7,1.316168E7,7.6
202502,1.1753406E7,1.1221777E7,4.7
202503,1.3907002E7,1.3128549E7,5.9
202504,1.088739E7,1.1330249E7,-3.9
202505,1.4881668E7,1.2296326E7,21.0
202506,1.265475E7,1.1523799E7,9.8
202507,1.3879274E7,1.2601932E7,10.1
202508,1.4639538E7,1.3071261E7,12.0
202509,1.2990422E7,1.3391634E7,-3.0
202510,1.5551704E7,1.230027E7,26.4
202511,1.3006564E7,1.1317982E7,14.9
202512,1.3564702E7,1.2699096E7,6.8
