기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1.259783E7,7250050.0,73.8
202302,1.1172693E7,8956532.0,24.7
202303,1.2137069E7,8870246.0,36.8
202304,1.1124407E7,9608966.0,15.8
202305,1.2463906E7,1.1261408E7,10.7
202306,1.225602E7,1.062622E7,15.3
202307,1.4632016E7,1.3370077E7,9.4
202308,1.7064232E7,1.4466599E7,18.0
202309,1.3470664E7,1.2037798E7,11.9
202310,1.3862968E7,1.272895E7,8.9
202311,9826512.0,1.0038665E7,-2.1
202312,1.124054E7,1.1006163E7,2.1
202401,1.1012484E7,1.193317E7,-7.7
202402,1.1603196E7,9681742.0,19.8
202403,1.1103208E7,1.0240909E7,8.4
202404,1.0293034E7,1.1681436E7,-11.9
202405,1.2363662E7,1.3157494E7,-6.0
202406,1.2718976E7,1.2607371E7,0.9
