기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,8595570.0,1.1791269E7,-27.1
202408,8520806.0,8368224.0,1.8
202409,9843592.0,8935346.0,10.2
202410,8474102.0,8298854.0,2.1
202411,8394152.0,7927122.0,5.9
202412,8875338.0,8367874.0,6.1
202501,9796276.0,9140509.0,7.2
202502,7710644.0,7667681.0,0.6
202503,9649934.0,9281352.0,4.0
202504,7956084.0,7756126.0,2.6
202505,1.0831156E7,8309998.0,30.3
202506,8905631.0,7660860.0,16.2
202507,9441796.0,8671880.0,8.9
202508,9678942.0,8535950.0,13.4
202509,9062876.0,9472172.0,-4.3
202510,1.1060637E7,8771756.0,26.1
202511,8954046.0,8178992.0,9.5
202512,9380970.0,9167680.0,2.3
