기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,5017078.0,8006250.0,-37.3
202408,5584425.0,6506731.0,-14.2
202409,4703055.0,5045789.0,-6.8
202410,4945717.0,6094980.0,-18.9
202411,4403266.0,5252712.0,-16.2
202412,4396102.0,4796743.0,-8.4
202501,4749304.0,5372801.0,-11.6
202502,3724602.0,4931644.0,-24.5
202503,4389290.0,5266828.0,-16.7
202504,4488715.0,5061833.0,-11.3
202505,5287975.0,5146428.0,2.8
202506,4781322.0,4972198.0,-3.8
202507,5423733.0,5186937.0,4.6
202508,5782984.0,5761396.0,0.4
202509,4841711.0,4600320.0,5.2
202510,5905109.0,5378362.0,9.8
202511,4999656.0,4494056.0,11.2
202512,4895485.0,4456270.0,9.9
