기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,6835395.0,5104704.0,33.9
202302,6167550.0,5419925.0,13.8
202303,7722176.0,6787165.0,13.8
202304,6231012.0,5154807.0,20.9
202305,6633008.0,6001387.0,10.5
202306,6603320.0,5498948.0,20.1
202307,6724263.0,5568332.0,20.8
202308,6901016.0,5248579.0,31.5
202309,7443037.0,6334100.0,17.5
202310,7162844.0,6139259.0,16.7
202311,6487950.0,5940774.0,9.2
202312,7097769.0,5913156.0,20.0
202401,6595099.0,6145374.0,7.3
202402,7114790.0,5129299.0,38.7
202403,8228962.0,6585212.0,25.0
202404,6436210.0,5670228.0,13.5
202405,7160968.0,6578243.0,8.9
202406,6725747.0,6082069.0,10.6
