기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,4.929016E7,4.861473E7,1.4
202408,4.8888014E7,4.6582602E7,5.0
202409,4.9670618E7,4.9772345E7,-0.2
202410,5.2413634E7,5.0165734E7,4.5
202411,4.807314E7,4.7061364E7,2.2
202412,5.1393122E7,4.808978E7,6.9
202501,4.899511E7,4.7059016E7,4.1
202502,4.8232079E7,4.691771E7,2.8
202503,5.7586168E7,5.4703464E7,5.3
202504,4.6523312E7,4.4422917E7,4.7
202505,5.8571541E7,4.8890608E7,19.8
202506,5.105521E7,4.7057941E7,8.5
202507,5.414165E7,4.9356132E7,9.7
202508,5.1745726E7,4.8280838E7,7.2
202509,5.4009456E7,5.0867548E7,6.2
202510,5.2697897E7,4.9880316E7,5.6
202511,5.4363256E7,4.835725E7,12.4
202512,5.5364449E7,5.1472754E7,7.6
