기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1.0612343E7,7100548.0,49.5
202302,8456077.0,8822317.0,-4.2
202303,1.1146737E7,9556764.0,16.6
202304,1.1018892E7,8941902.0,23.2
202305,1.1478579E7,1.003423E7,14.4
202306,1.0039306E7,9021796.0,11.3
202307,1.0443545E7,9819845.0,6.4
202308,1.1728479E7,1.0712268E7,9.5
202309,1.1959423E7,1.1267938E7,6.1
202310,1.2467774E7,1.0667002E7,16.9
202311,9651887.0,9654754.0,-0.0
202312,9424076.0,8837608.0,6.6
202401,8769432.0,9842752.0,-10.9
202402,1.0735067E7,8033060.0,33.6
202403,1.1385854E7,9131980.0,24.7
202404,1.0578074E7,9694384.0,9.1
202405,1.1526112E7,1.0347134E7,11.4
202406,9936570.0,1.0274856E7,-3.3
