기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,1.345338E7,9650466.0,39.4
202302,1.0716444E7,1.0975874E7,-2.4
202303,1.3747083E7,1.2046972E7,14.1
202304,1.2409229E7,1.0733632E7,15.6
202305,1.3463142E7,1.2268557E7,9.7
202306,1.2251466E7,1.106309E7,10.7
202307,1.3185414E7,1.221576E7,7.9
202308,1.391796E7,1.2497146E7,11.4
202309,1.4429852E7,1.3200061E7,9.3
202310,1.4060358E7,1.279902E7,9.8
202311,1.1783051E7,1.160375E7,1.6
202312,1.1895552E7,1.1157531E7,6.6
202401,1.181403E7,1.2246958E7,-3.5
202402,1.3294386E7,1.0249638E7,29.7
202403,1.3939258E7,1.1534068E7,20.8
202404,1.22285E7,1.1729704E7,4.2
202405,1.3627922E7,1.3192053E7,3.3
202406,1.2324452E7,1.1862896E7,3.9
