기준년월,방문자수,전년동월방문자수,방문자수증감률
202407,1.4459848E7,1.3940486E7,3.7
202408,1.5299494E7,1.3734133E7,11.4
202409,1.5702242E7,1.4614425E7,7.4
202410,1.5178954E7,1.4407522E7,5.4
202411,1.3933272E7,1.3095092E7,6.4
202412,1.4421172E7,1.3403887E7,7.6
202501,1.5377296E7,1.407959E7,9.2
202502,1.3275546E7,1.3018884E7,2.0
202503,1.606241E7,1.5411358E7,4.2
202504,1.3153802E7,1.3465466E7,-2.3
202505,1.7314686E7,1.5536388E7,11.4
202506,1.511594E7,1.3956943E7,8.3
202507,1.5845417E7,1.5029458E7,5.4
202508,1.6161579E7,1.4945406E7,8.1
202509,1.5393626E7,1.5726382E7,-2.1
202510,1.7471072E7,1.5355025E7,13.8
202511,1.513511E7,1.363048E7,11.0
202512,1.5176378E7,1.4953648E7,1.5
