기준년월,방문자수,전년동월방문자수,방문자수증감률
202301,2244179.0,1784976.0,25.7
202302,2081051.0,1882944.0,10.5
202303,2690496.0,2353246.0,14.3
202304,2173804.0,2017064.0,7.8
202305,2314770.0,2173392.0,6.5
202306,2207464.0,2053776.0,7.5
202307,2183846.0,2191490.0,-0.4
202308,2293084.0,2142896.0,7.0
202309,2455240.0,2280054.0,7.7
202310,2419014.0,2259453.0,7.1
202311,2105145.0,2057976.0,2.3
202312,2236952.0,2193205.0,2.0
202401,2178946.0,2160725.0,0.8
202402,2266372.0,1850639.0,22.5
202403,2718562.0,2364327.0,15.0
202404,2256180.0,2166304.0,4.2
202405,2356252.0,2409536.0,-2.2
202406,2204114.0,2138423.0,3.1
