기준년월,지역,방문자수,전년동월방문자수,방문자수증감률
202511,경북,15639757.0,13577750.0,15.2
202512,경북,13758563.0,13307158.0,3.4
202301,광주,5699004.0,4092193.0,39.3
202302,광주,4753595.0,4255702.0,11.7
202303,광주,6137498.0,5220736.0,17.6
202304,광주,4883260.0,4299554.0,13.6
202305,광주,5579196.0,4652966.0,19.9
202306,광주,5254522.0,4281182.0,22.7
202307,광주,5634500.0,4757102.0,18.4
202308,광주,5536346.0,4574930.0,21.0
202309,광주,6057485.0,5174897.0,17.1
202310,광주,5858604.0,5270066.0,11.2
202311,광주,5112068.0,4916513.0,4.0
202312,광주,5751242.0,4735213.0,21.5
202401,광주,5324910.0,5038960.0,5.7
202402,광주,5863064.0,4094433.0,43.2
202403,광주,6381004.0,5015115.0,27.2
202404,광주,5025839.0,4424724.0,13.6
202405,광주,5696786.0,4790734.0,18.9
202406,광주,5047304.0,5413726.0,-6.8
202407,광주,5418637.0,8823314.0,-38.6
202408,광주,5459874.0,5101632.0,7.0
202409,광주,6142353.0,5724212.0,7.3
202410,광주,5310602.0,5208298.0,2.0
202411,광주,5226662.0,4936614.0,5.9
202412,광주,5458786.0,5044186.0,8.2
202501,광주,6005433.0,5699004.0,5.4
202502,광주,4786684.0,4753595.0,0.7
202503,광주,6367256.0,6137498.0,3.7
202504,광주,4960490.0,4883260.0,1.6
202505,광주,6777337.0,5579196.0,21.5
202506,광주,5588569.0,5254522.0,6.4
202507,광주,6081985.0,5634500.0,7.9
202508,광주,6110727.0,5536346.0,10.4
202509,광주,5817150.0,6057485.0,-4.0
202510,광주,6892697.0,5858604.0,17.6
202511,광주,5623460.0,5112068.0,10.0
202512,광주,5967899.0,5751242.0,3.8
202301,대구,9140509.0,6444123.0,41.8
202302,대구,7667681.0,7142832.0,7.4
202303,대구,9281352.0,8140198.0,14.0
202304,대구,7756126.0,6832410.0,13.5
202305,대구,8309998.0,7490374.0,10.9
202306,대구,7660860.0,6551038.0,16.9
202307,대구,8671880.0,7286870.0,19.0
202308,대구,8535950.0,7115199.0,20.0
202309,대구,9472172.0,8100379.0,16.9
202310,대구,8771756.0,7604842.0,15.3
202311,대구,8178992.0,7358312.0,11.2
202312,대구,9167680.0,7584812.0,20.9
202401,대구,8261712.0,7872214.0,5.0
202402,대구,9364201.0,6499434.0,44.1
202403,대구,9740986.0,7580937.0,28.5
202404,대구,8089812.0,7043701.0,14.8
202405,대구,8712046.0,7745658.0,12.5
